"year","month","ts","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1890,2,1890.12,"1890-2-15 00:00:00",-2.77435,-0.45286,-1.15146,-1.40308,-0.692188,-0.565308,-0.570332,-0.38164,-0.383002,-0.190357,-0.2549,-0.237334
1890,3,1890.21,"1890-3-15 00:00:00",-0.63067,-2.03971,-0.827769,-1.16911,-1.54499,-0.898798,-0.764671,-0.76357,-0.562672,-0.559077,-0.371468,-0.427574
1890,4,1890.29,"1890-4-15 00:00:00",0.151151,-0.430281,-1.53419,-0.713324,-1.06448,-1.4418,-0.853362,-0.740521,-0.743404,-0.551578,-0.546923,-0.36218
1890,5,1890.38,"1890-5-15 00:00:00",0.274991,0.218929,-0.272572,-1.21277,-0.567437,-0.908194,-1.26334,-0.740348,-0.647109,-0.649,-0.485421,-0.481135
1890,6,1890.46,"1890-6-15 00:00:00",0.453118,0.445825,0.388447,-0.0509736,-0.871266,-0.36215,-0.7101,-1.03795,-0.576478,-0.497339,-0.507585,-0.372663
1890,7,1890.54,"1890-7-15 00:00:00",0.462371,0.551684,0.608154,0.511409,0.151814,-0.567396,-0.154735,-0.490587,-0.800814,-0.406372,-0.34131,-0.361286
1890,8,1890.62,"1890-8-15 00:00:00",1.48743,1.1731,1.18128,1.14725,1.0622,0.729729,0.0920144,0.401968,0.0557756,-0.243422,0.0644897,0.103457
1890,9,1890.71,"1890-9-15 00:00:00",-1.77064,0.19989,0.355701,0.450688,0.466734,0.437997,0.178638,-0.368821,-0.0616737,-0.338152,-0.607496,-0.294973
1890,10,1890.79,"1890-10-15 00:00:00",0.645527,-0.484696,0.489355,0.552141,0.630713,0.644924,0.615872,0.366107,-0.156645,0.121491,-0.15536,-0.415058
1890,11,1890.88,"1890-11-15 00:00:00",0.891486,1.21083,0.152367,0.824744,0.831873,0.887328,0.900342,0.858534,0.60541,0.113476,0.362311,0.0807638
1890,12,1890.96,"1890-12-15 00:00:00",-3.3808,-0.861679,-0.278319,-1.00114,-0.17839,0.0105758,0.111028,0.150605,0.145472,-0.0544502,-0.514656,-0.2431
1891,1,1891.04,"1891-1-15 00:00:00",-0.216634,-1.90502,-0.899828,-0.42373,-1.05737,-0.309919,-0.113091,-0.0127398,0.0290158,0.0297681,-0.152643,-0.598342
1891,2,1891.12,"1891-2-15 00:00:00",-1.9428,-1.4299,-3.3206,-1.62207,-1.07534,-1.62663,-0.8409,-0.577988,-0.474889,-0.426456,-0.397878,-0.538591
1891,3,1891.21,"1891-3-15 00:00:00",0.648166,-0.587228,-0.752496,-1.87417,-1.12601,-0.741142,-1.25395,-0.589941,-0.382518,-0.287713,-0.244969,-0.231033
1891,4,1891.29,"1891-4-15 00:00:00",0.263285,0.564278,-0.42066,-0.591058,-1.62416,-1.01382,-0.665933,-1.16971,-0.541211,-0.34592,-0.252961,-0.210473
1891,5,1891.38,"1891-5-15 00:00:00",-0.28022,-0.113856,0.266881,-0.568929,-0.709704,-1.62982,-1.07538,-0.741805,-1.21565,-0.614252,-0.426104,-0.334517
1891,6,1891.46,"1891-6-15 00:00:00",1.22502,0.668014,0.644046,0.820823,0.0259056,-0.138645,-1.02396,-0.587563,-0.326382,-0.764418,-0.250086,-0.113317
1891,7,1891.54,"1891-7-15 00:00:00",1.12301,1.51438,1.30657,1.13697,1.22928,0.532528,0.373808,-0.442516,-0.113917,0.0797594,-0.323413,0.116886
1891,8,1891.62,"1891-8-15 00:00:00",0.173121,0.851298,1.2352,1.00158,0.964784,1.05618,0.488959,0.354706,-0.369008,-0.0799738,0.0958882,-0.278989
1891,9,1891.71,"1891-9-15 00:00:00",-0.65647,-0.369899,0.403175,0.805886,0.616411,0.612682,0.72498,0.229153,0.115428,-0.524117,-0.254201,-0.080341
